0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
23,22.0,Limosilactobacillus,28,42.857142857142854,0.0,96.42857142857143,100.0,96.42857142857143,0.0,28.57142857142857,28.57142857142857,21.428571428571427,92.85714285714286,0.0,96.42857142857143,0.0,96.42857142857143,7.142857142857142,0.0,32.142857142857146,17.857142857142858,7.142857142857142,32.142857142857146
24,23.0,Liquorilactobacillus,12,100.0,8.333333333333332,100.0,0.0,0.0,100.0,0.0,0.0,25.0,50.0,91.66666666666666,100.0,91.66666666666666,100.0,83.33333333333334,0.0,66.66666666666666,8.333333333333332,50.0,0.0
25,24.0,Loigolactobacillus,9,100.0,22.22222222222222,100.0,0.0,44.44444444444444,100.0,44.44444444444444,44.44444444444444,0.0,66.66666666666666,88.88888888888889,100.0,100.0,100.0,22.22222222222222,0.0,100.0,0.0,0.0,0.0
26,25.0,Oenococcus,4,0.0,0.0,75.0,100.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0,0.0,75.0,0.0,0.0,50.0,50.0,75.0,0.0
27,26.0,Paralactobacillus,1,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
28,27.0,Paucilactobacillus,7,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,85.71428571428571,100.0,0.0,100.0,0.0,85.71428571428571,14.285714285714285,0.0,100.0,14.285714285714285,0.0,0.0
29,28.0,Pediococcus,11,100.0,27.27272727272727,18.181818181818183,0.0,18.181818181818183,100.0,18.181818181818183,18.181818181818183,18.181818181818183,90.9090909090909,18.181818181818183,100.0,9.090909090909092,100.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0
30,29.0,Periweissella,5,20.0,0.0,100.0,60.0,100.0,0.0,20.0,20.0,0.0,80.0,40.0,100.0,0.0,100.0,0.0,0.0,20.0,0.0,20.0,0.0
31,30.0,Schleiferilactobacillus,3,0.0,0.0,100.0,0.0,33.33333333333333,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,33.33333333333333,0.0,0.0,0.0
32,31.0,Secundilactobacillus,12,0.0,50.0,100.0,58.333333333333336,100.0,0.0,50.0,50.0,91.66666666666666,83.33333333333334,0.0,100.0,0.0,100.0,0.0,0.0,83.33333333333334,66.66666666666666,0.0,0.0
33,32.0,Weissella,19,94.73684210526315,10.526315789473683,94.73684210526315,52.63157894736842,100.0,21.052631578947366,0.0,0.0,0.0,68.42105263157895,5.263157894736842,100.0,5.263157894736842,100.0,0.0,0.0,0.0,10.526315789473683,10.526315789473683,0.0
